產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
紀實149,天堂百貨第二季4,2017-12-28,紀實149/人物傳記 ,【天堂百貨第二季4】天堂百貨公司，在英國第一大百貨商場令人迷醉的輝煌中，重啟了第二季的大門。隨著聰明伶俐、志向遠大又慷慨仗義的丹妮絲洛維特，這一季的故事開始於莫瑞向丹妮絲表白並失去天堂百貨公司這些戲劇性事件發生的一年之後。在莫瑞打破兩人的婚約後，被拋棄的凱薩琳嫁給了一位經歷複雜、神秘且令人敬畏的前軍官-湯姆韋斯頓。儘管她想開始新的生活，但是對莫瑞強烈的感情恐怕會將她拖入莫瑞及丹妮絲的三角戀之中。同時，莫瑞和丹妮絲，仍站在時尚與創新前端的兩個人，計畫不計代價的要將天堂百貨從凱薩琳和她丈夫手裡收回來。 充滿了,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=459023,http://mod.cht.com.tw/img/iappic/459023.jpg,2017-10-06 21:58:03
紀實149,音樂人生,2017-11-30,紀實149/音樂藝術 ,橫掃亞洲多項紀錄片大獎！一個從小就被讚譽為天才的音樂神童，在成長的過程中，不斷拉扯著自己，追尋自我與夢想的故事。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=455087,http://mod.cht.com.tw/img/iappic/455087.jpg,2017-10-06 21:58:03
紀實149,星光好萊塢：寇特羅素,2017-11-02,紀實149/人物傳記 ,【星光好萊塢】介紹了好萊塢最耀眼的巨星們私下的生活與事業。節目採訪、紅毯致詞、電影幕後隱藏花絮、首映致詞，涵蓋巨星尚未成名前的青澀樣貌到躍上頒獎台最動人的演說，【星光好萊塢】帶您一窺明星們的人生旅途。從安潔莉娜裘莉、強尼戴普、梅莉史翠普，到湯姆漢克、馬修麥康納、史嘉蕾韓森，迷人巨星風采無一遺漏。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=450877,http://mod.cht.com.tw/img/iappic/450877.jpg,2017-10-06 21:58:03
紀實149,舞林爭霸第13集(完),2017-12-28,紀實149/音樂藝術 ,舞蹈真人秀節目。為專業舞者提供展示平臺，舞蹈種類涵蓋現代舞、嘻哈舞、國標舞分拉丁舞和摩登舞等舞蹈領域，為國內舞蹈愛好者提供了一個競爭、展示、交流平臺。,"金星,方俊,楊麗萍,陳小春",多螢,http://mod.cht.com.tw/video/movie-details.php?id=460081,http://mod.cht.com.tw/img/iappic/460081.jpg,2017-10-06 21:58:03
紀實149,麵條之路2,2017-10-26,紀實149/風土人文 ,通往絲路的關口甘肅，這是一座一千五百年前的貴族墓穴。在墓穴中的壁畫裡，這個墓穴主人所吃的食物，被描繪得栩栩如生。西域風格的烤羊肉串、青銅鍋裡的湯料理，這些食物，象徵著西方和中國飲食文化的交流。本集要介紹在東西文明交流下，所誕生的一種很特別的食物。一起來解開，呈現在人類廚房中的麵食秘密。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=458220,http://mod.cht.com.tw/img/iappic/458220.jpg,2017-10-06 21:58:03
紀實149,文化大觀園-中國元素日本製二、天目盞的誘惑,2017-11-16,紀實149/風土人文 ,攝製組來到日本，尋找那些當年由中國發源創造，卻在日本匠人手中生根重塑的技藝，探究那些源自于中國的美是如何在日本代代迭新、璀璨綻放。本集探訪天目盞燒製大師鐮田幸二及從未對外開放過的保密工坊。,王魯湘,多螢,http://mod.cht.com.tw/video/movie-details.php?id=451961,http://mod.cht.com.tw/img/iappic/451961.jpg,2017-10-06 21:58:03
紀實149,雲上的行走2-日光城的夏日生活,2017-11-23,紀實149/風土人文 ,拉薩人就喜歡在大熱天裡往外跑，拉薩的夏天不僅有特別的美食，還有很多精采的平時沒有的活動。那到底，拉薩的夏天有什麼特別的新鮮事呢？本集帶您去看看。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=454414,http://mod.cht.com.tw/img/iappic/454414.jpg,2017-10-06 21:58:03
紀實149,大貓末日,2017-11-09,紀實149/自然生態 ,五十年前，非洲還有超過五十萬隻的獅子，如今僅剩下約兩萬隻。叢林之王，萬獸莫敵的掠食者如今已逐漸走向衰亡。野生環境的無形摧殘加上人類的利益貪婪，使得這些大型貓科動物，不斷減少致令人憂心的地步。政府開始設立保護區及立法規範來維持生態平衡，讓世界正視保育的重要性。面臨著一場毫勝勝算的生存之戰，獅子、花豹及獵豹該何去何從？未來，真的是屬於大貓的末日盡頭嗎？,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=450888,http://mod.cht.com.tw/img/iappic/450888.jpg,2017-10-06 21:58:03
紀實149,魔術實驗室第7集,2017-12-14,紀實149/科學探索 ,眼前所見的奇怪現象，是神秘的科學？還是神奇的魔術？消失的湯匙到哪裡去了？是魔術師的手法？還是我們不知道的科學原理？運用簡單易懂的小短劇，讓你輕鬆認識科學，兼具教育意義與娛樂效果的綜藝－魔術實驗室！,"全炫茂,金俊賢,李恩傑",多螢,http://mod.cht.com.tw/video/movie-details.php?id=458291,http://mod.cht.com.tw/img/iappic/458291.jpg,2017-10-06 21:58:03
紀實149,魔術實驗室第10集,2018-01-04,紀實149/科學探索 紀實149/本週推薦 ,眼前所見的奇怪現象，是神秘的科學？還是神奇的魔術？消失的湯匙到哪裡去了？是魔術師的手法？還是我們不知道的科學原理？運用簡單易懂的小短劇，讓你輕鬆認識科學，兼具教育意義與娛樂效果的綜藝－魔術實驗室！,"全炫茂,金俊賢,李恩傑",多螢,http://mod.cht.com.tw/video/movie-details.php?id=461007,http://mod.cht.com.tw/img/iappic/461007.jpg,2017-10-06 21:58:03
