產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
好萊塢199,探索者的傳說S1-06,2018-01-25,好萊塢199/類型/影集/探索者的傳說第一季 好萊塢199/影集/探索者的傳說第一季 ,理查德居住在西土世界中，這裡是全世界唯一一片沒有魔法的土地，和西土世界一線相隔的是被帝王和魔法統治的中土世界，這兩個世界被一條魔法界限隔開，任誰也不能穿過。父親的死讓理查德耿耿於懷，希望依靠自己的力量找到真兇。某日，理查德邂逅了名為凱蘭的神秘女子，沒想到他們的相遇徹底改寫了兩人的命運。,"克雷格霍納,布麗奇特里根,布魯斯史班斯",多螢,http://mod.cht.com.tw/video/movie-details.php?id=432460,http://mod.cht.com.tw/img/iappic/432460.jpg,2017-10-06 21:50:43
好萊塢199,超完美嬌妻,2018-04-26,好萊塢199/類型/劇情 好萊塢199/劇情 ,珍娜與老公搬來豪華上流社區居住，卻發現鄰居太太一個個都不像人，她們太完美了缺乏情緒及個性，除了她新認識的好友芭比例外，是一名喜愛胡思亂想、尖酸、並酗酒的太太，顯然還存有人性。她們兩人合夥開始調查鄰居家庭真相，竟發現她們的先生都串通好，把自己的太太個個都換成卑恭屈膝、千依百順的複製機器人。,"妮可基嫚,克里斯多佛華肯,貝蒂蜜勒",多螢,http://mod.cht.com.tw/video/movie-details.php?id=447877,http://mod.cht.com.tw/img/iappic/447877.jpg,2017-10-06 21:50:43
好萊塢199,童話小鎮S3-15,2017-11-30,好萊塢199/類型/影集/童話小鎮第三季 好萊塢199/影集/童話小鎮第三季 ,一波未平一波又起，來自奧茲國的威脅接踵而來，一身綠皮膚的邪惡女巫降臨童話小鎮，有可怕的飛猴任其指使，還掌握控制黑暗者朗普斯金的匕首，她逐步蒐集了勇氣、心和頭腦等象徵物，到底她的意圖為何？,"珍妮佛古德溫,珍妮佛莫瑞森,勞勃卡萊爾",多螢,http://mod.cht.com.tw/video/movie-details.php?id=423252,http://mod.cht.com.tw/img/iappic/423252.jpg,2017-10-06 21:50:43
好萊塢199,強‧艾德格,2017-11-30,好萊塢199/類型/劇情 好萊塢199/劇情 好萊塢199/熱門排行 ,『★克林伊斯威特執導 ★李奧納多精湛演出　他一手創立聯邦調查局，擔任局長將近五十年，不計代價只為保護國家』強艾德格胡佛（J. Edgar Hoover）大學畢業後進入司法部工作，24歲的他因為表現出色，升任當時調查局的情報組主任，五年時間內就升任局長。直到他40歲時，更獲當時總統羅斯福重用，胡佛在任的近50年裡，美國換了8位總統，沒有一個總統敢換掉他，因為他掌握諸多不為人知的秘密，對美國總統來說是最大的威脅。,"李奧納多狄卡皮歐,喬許盧卡斯,娜歐蜜華茲,德莫麥隆尼",多螢,http://mod.cht.com.tw/video/movie-details.php?id=458324,http://mod.cht.com.tw/img/iappic/458324.jpg,2017-10-06 21:50:43
好萊塢199,思想調查員S1-06,2017-12-28,好萊塢199/類型/影集/思想調查員第一季 好萊塢199/影集/思想調查員第一季 ,年輕女人被一個絕密政府組織雇傭參與一項超自然研究。他們將「刺探」最近剛剛死亡的人的大腦，利用他們的記憶來調查懸疑謀殺案，破解各種秘密——如果他們不這麽做，那麽這些秘密就只能追隨死者一起進墳墓了。Emma Ishta扮演女主人公Kirsten Clark，聰明但不善社交，身患一種罕見病癥。她沒有任何情感，也體會不到「時間的流逝」。她是個計算機高手，擁有非凡的黑客技能。她原本可以拿到計算機科學領域的高級學位……但是她因為公開室友和輔導教授的私情而遇到麻煩。ꀀ,"艾瑪伊西塔,凱爾哈里斯",多螢,http://mod.cht.com.tw/video/movie-details.php?id=426967,http://mod.cht.com.tw/img/iappic/426967.jpg,2017-10-06 21:50:43
好萊塢199,爸媽被我綁架了,2018-04-30,好萊塢199/類型/劇情 好萊塢199/劇情 ,媽媽莎曼莎是位事業有成的職業婦女，父親則是位從事創作的藝術家，他們對於家庭、孩子都沒有心思照顧，且對於大女兒艾蜜莉的一切都要反對。最後，艾蜜莉決定與兄妹連手綁架她的父母，重新整頓家中的秩序，讓這個家再次成為一個「家庭」。,"克莉絲汀肯諾維斯,馬修莫汀,奧莉亞盧林",,http://mod.cht.com.tw/video/movie-details.php?id=452706,http://mod.cht.com.tw/img/iappic/452706.jpg,2017-10-06 21:50:43
好萊塢199,降魔戰警,2018-04-29,好萊塢199/類型/動作 好萊塢199/動作 好萊塢199/熱門排行 ,『★萊恩雷諾斯主演ꀀ身為人民保姆，就算掛掉也要繼續懲奸除惡！老鳥菜鳥搭檔出擊，一起降妖伏魔～』老鳥警長洛伊普西法是除魔局的傳奇，專長是揪出已經掛掉卻隱身在人群的死者。他的任務就是將企圖躲掉最後審判的亡命幽魂繩之以法。他指派去和生前為警界明日之星的尼克華克搭檔。他們發現一樁可能毀掉人間的陰謀，必須想辦法維繫宇宙的平衡，否則人間和死後世界的通道被逆行，讓憤怒的死者再度湧回人類世界。,"萊恩雷諾斯,凱文貝肯,傑夫布里吉",多螢,http://mod.cht.com.tw/video/movie-details.php?id=459528,http://mod.cht.com.tw/img/iappic/459528.jpg,2017-10-06 21:50:43
好萊塢199,罪案第六感S2-11,2017-11-23,好萊塢199/類型/影集/罪案第六感第二季 好萊塢199/影集/罪案第六感第二季 ,丹尼爾是人類行為學以及神經科學方面的權威，但旁人所不知的是，他其實是個精神分裂癥的患者。為了防止誘發自己的癥狀，他除了教課外盡量避免與人交際，過著孤隱且程式化的生活。然而 他過去最得意的學生，年輕貌美的FBI特工凱特‧莫雷提的歸來打破了這種平靜。經凱特推薦丹尼爾成為了FBI的專家顧問，各種疑難案件為他帶來了久違的挑戰，精神病所引起的幻覺也使得他可以抓捕到了許多無法用常規手段提供的線索，但同時也使得他久未復發的病情開始變得不穩定。,"艾瑞克麥柯馬克,瑞秋萊寇克,凱利羅雲",多螢,http://mod.cht.com.tw/video/movie-details.php?id=422273,http://mod.cht.com.tw/img/iappic/422273.jpg,2017-10-06 21:50:43
好萊塢199,戀愛刺客,2018-01-25,好萊塢199/類型/愛情 好萊塢199/愛情 ,約翰同時跟三個學校的校花交往，當他的劈腿行為被發現時，這群女生心碎之餘決定報復約翰，她們訓練毫不知情的轉學生凱特要讓約翰嘗嘗傷心的滋味。然而她們精心籌畫的毒計都被約翰意外破解，更出乎他們意料之外的是，約翰塔克似乎愛上了「戀愛刺客」凱特…...。,"亞香緹,傑西麥卡菲",多螢,http://mod.cht.com.tw/video/movie-details.php?id=433141,http://mod.cht.com.tw/img/iappic/433141.jpg,2017-10-06 21:50:43
好萊塢199,來自星星的鄰居 S1-22,2018-04-30,好萊塢199/類型/影集/來自星星的鄰居第一季 好萊塢199/影集/來自星星的鄰居第一季 好萊塢199/本週上架 ,Marty Weaver想讓妻子和孩子們過幸福富足的生活。他花重金在私人社區買房子，社區豪華又氣派。從搬到這裡的第一天，Weaver家覺得有點不尋常。鄰居們全都有著運動明星的名字。他們不吃東西只是讀書。Weaver一家發現，整個社區除了他們以外竟然全都是來自察布隆星球外星人。,"道格瓊斯,潔美葛茲,蘭尼凡尼東",多螢,http://mod.cht.com.tw/video/movie-details.php?id=461760,http://mod.cht.com.tw/img/iappic/461760.jpg,2017-10-06 21:50:43
好萊塢199,皮克斯的故事,2018-04-30,好萊塢199/類型/闔家 好萊塢199/闔家 好萊塢199/熱門排行 ,紀錄動畫大廠皮克斯工作室成長歷史，穿插許多巨星面對面訪問，及皮克斯成立的兩大重要人物Ed Catmull與Steve的訪談，並難能可貴的剪輯許多皮克斯早期的短片。受訪人物包括湯姆漢克斯、喬治盧卡斯...等，將每部皮克斯影片所用到的技術與效果都詳盡說明，反映出皮克斯成長歷程，與動畫史變遷。,"史戴西奇屈,約翰拉薩特,布萊德柏德",多螢,http://mod.cht.com.tw/video/movie-details.php?id=460413,http://mod.cht.com.tw/img/iappic/460413.jpg,2017-10-06 21:50:43
好萊塢199,罪案第六感 S1-04,2017-10-26,好萊塢199/類型/影集/罪案第六感第一季 好萊塢199/影集/罪案第六感第一季 ,丹尼爾是人類行為學以及神經科學方面的權威，但旁人所不知的是，他其實是個精神分裂癥的患者。為了防止誘發自己的癥狀，他除了教課外盡量避免與人交際，過著孤隱且程式化的生活。然而他過去最得意的學生——年輕貌美的FBI特工凱特莫萊蒂的歸來打破了這種平靜。經凱特推薦，丹尼爾成為了FBI的專家顧問，各種疑難案件為他帶來了久違的挑戰，精神病所引起的幻覺也使得他可以抓捕到許多無法用常規手段提供的線索，但同時也使得他久未復發的病情開始變得不穩定。,"瑞秋萊寇克,凱莉羅恩,佛萊迪羅利葛茲",多螢,http://mod.cht.com.tw/video/movie-details.php?id=416499,http://mod.cht.com.tw/img/iappic/416499.jpg,2017-10-06 21:50:43
好萊塢199,罪案第六感S2-10,2017-11-23,好萊塢199/類型/影集/罪案第六感第二季 好萊塢199/影集/罪案第六感第二季 ,丹尼爾是人類行為學以及神經科學方面的權威，但旁人所不知的是，他其實是個精神分裂癥的患者。為了防止誘發自己的癥狀，他除了教課外盡量避免與人交際，過著孤隱且程式化的生活。然而 他過去最得意的學生，年輕貌美的FBI特工凱特‧莫雷提的歸來打破了這種平靜。經凱特推薦丹尼爾成為了FBI的專家顧問，各種疑難案件為他帶來了久違的挑戰，精神病所引起的幻覺也使得他可以抓捕到了許多無法用常規手段提供的線索，但同時也使得他久未復發的病情開始變得不穩定。,"艾瑞克麥柯馬克,瑞秋萊寇克,凱利羅雲",多螢,http://mod.cht.com.tw/video/movie-details.php?id=422267,http://mod.cht.com.tw/img/iappic/422267.jpg,2017-10-06 21:50:43
好萊塢199,麥斯．潘恩,2018-01-25,好萊塢199/類型/動作 好萊塢199/動作 ,緝毒探員麥斯潘恩妻女因他死於非命，他決意調查幕後真兇。麥斯試圖從「蛇蠍美人」娜塔莎身上找尋有用的線索，但娜塔莎卻被謀殺，讓麥斯成了主要的嫌疑犯。被各路人馬追緝的他，遇上娜塔莎的姐姐，兩人聯手調查。處處可見的「V」字圖騰、幾乎無所不在的惡魔、關鍵的羽翼刺青，到底真相是什麼？,"馬克華柏格,蜜拉庫妮絲,鮑布里吉,路達克里斯,克里斯歐唐納",多螢,http://mod.cht.com.tw/video/movie-details.php?id=437024,http://mod.cht.com.tw/img/iappic/437024.jpg,2017-10-06 21:50:43
